iter	Passed	Remaining
1443	481679	2186904
1444	481853	2185846
1445	482030	2184806
1446	482200	2183730
1447	482373	2182672
1448	482520	2181499
1449	482713	2180534
1450	482892	2179504
1451	483047	2178373
1452	483218	2177309
1453	483380	2176211
1454	483566	2175219
1455	483701	2174001
1456	483852	2172852
1457	483994	2171669
1458	484159	2170589
1459	484315	2169466
1460	484458	2168292
1461	484645	2167311
1462	484790	2166150
1463	484960	2165095
1464	485112	2163965
1465	485269	2162857
1466	485424	2161744
1467	485594	2160698
1468	485763	2159649
1469	485939	2158628
1470	486106	2157572
1471	486266	2156486
1472	486435	2155442
1473	486580	2154291
1474	486760	2153297
1475	486911	2152173
1476	487059	2151040
1477	487215	2149946
1478	487381	2148892
1479	487526	2147749
1480	487701	2146743
1481	487876	2145734
1482	488047	2144710
1483	488206	2143632
1484	488381	2142630
1485	488534	2141530
1486	488683	2140412
1487	488834	2139309
1488	488999	2138266
1489	489154	2137178
1490	489311	2136102
1491	489448	2134942
1492	489604	2133863
1493	489762	2132793
1494	489926	2131754
